model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.13164,0.14805,0.11522,6.75,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.11667,0.11968,0.11367,7.54,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.13577,0.14298,0.12856,5.32,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.13577,0.14298,0.12856,4.97,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.1343,0.1592,0.10939,4.75,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.1216,0.13193,0.11126,2.87,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.15511,0.14991,0.16032,1.65,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.15511,0.14991,0.16032,1.92,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.11535,0.1118,0.11891,9.46,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.11952,0.13221,0.10682,5.5,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.13881,0.13853,0.13909,3.52,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.13881,0.13853,0.13909,3.64,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.15161,0.21903,0.08418,13.42,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.1281,0.14773,0.10846,8.25,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.13152,0.13087,0.13217,5.12,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.13152,0.13087,0.13217,5.07,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.20185,0.21379,0.18991,4.6,ok
