model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.41654,0.3594,0.47368,0.67,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.41654,0.3594,0.47368,0.66,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.41654,0.3594,0.47368,0.68,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.15617,0.1776,0.13475,2.28,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.22266,0.28323,0.16209,1.34,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.22266,0.28323,0.16209,1.32,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.22266,0.28323,0.16209,1.32,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.13221,0.13386,0.13056,3.36,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.16345,0.18851,0.13839,1.98,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.16345,0.18851,0.13839,1.99,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.16345,0.18851,0.13839,1.96,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.13213,0.13529,0.12896,1.16,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.18333,0.22465,0.142,0.67,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.18333,0.22465,0.142,0.68,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.18333,0.22465,0.142,0.68,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.14586,0.15605,0.13567,2.26,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.13895,0.14404,0.13385,1.32,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.13895,0.14404,0.13385,1.36,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.13895,0.14404,0.13385,1.31,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.15662,0.16711,0.14613,3.4,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.16256,0.17471,0.1504,1.97,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.16256,0.17471,0.1504,1.97,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.16256,0.17471,0.1504,1.98,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.17243,0.20466,0.1402,1.16,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.23883,0.30244,0.17522,0.71,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.23883,0.30244,0.17522,0.69,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.23883,0.30244,0.17522,0.67,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.12255,0.12063,0.12448,2.3,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.14813,0.17099,0.12527,1.37,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.14813,0.17099,0.12527,1.35,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.14813,0.17099,0.12527,1.38,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.14898,0.17113,0.12683,3.44,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.136,0.14309,0.1289,2.07,ok
