model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
QRF,300,2,9,0.865,1.6845,0.1661,2.0878,0.35
QRF,300,2,-1,0.861667,1.6853,0.1557,2.0704,0.0
QRF,300,3,0,0.856667,1.6583,0.1505,2.0884,0.4
QRF,300,3,1,0.865,1.655,0.1479,2.0707,0.38
QRF,300,3,2,0.853333,1.6585,0.1383,2.0406,0.45
QRF,300,3,3,0.85,1.6553,0.15,2.0935,0.39
QRF,300,3,4,0.851667,1.6545,0.1484,2.0899,0.38
QRF,300,3,5,0.853333,1.6523,0.1501,2.0845,0.37
QRF,300,3,6,0.858333,1.6572,0.1536,2.0802,0.39
QRF,300,3,7,0.856667,1.6575,0.1481,2.0696,0.35
QRF,300,3,8,0.851667,1.6594,0.1449,2.0738,0.41
QRF,300,3,9,0.861667,1.6691,0.1374,2.0429,0.4
QRF,300,3,-1,0.856667,1.6577,0.1416,2.0586,0.0
QRF,300,4,0,0.873333,1.7368,0.1274,2.0911,0.36
QRF,300,4,1,0.876667,1.7472,0.1245,2.0702,0.37
QRF,300,4,2,0.878333,1.7513,0.1166,2.0686,0.43
QRF,300,4,3,0.881667,1.7538,0.1159,2.0435,0.38
QRF,300,4,4,0.873333,1.749,0.1235,2.0817,0.42
QRF,300,4,5,0.886667,1.7624,0.1133,2.0547,0.4
QRF,300,4,6,0.868333,1.7379,0.1255,2.0972,0.4
QRF,300,4,7,0.88,1.7499,0.1202,2.0673,0.39
QRF,300,4,8,0.87,1.7438,0.1308,2.0772,0.36
QRF,300,4,9,0.873333,1.7526,0.1179,2.0696,0.42
QRF,300,4,-1,0.878333,1.7485,0.1167,2.0611,0.0
QRF,300,5,0,0.803333,1.588,0.2118,2.3278,0.38
QRF,300,5,1,0.798333,1.5745,0.2095,2.3101,0.38
QRF,300,5,2,0.785,1.5468,0.2214,2.3562,0.36
QRF,300,5,3,0.793333,1.5768,0.204,2.2881,0.39
QRF,300,5,4,0.79,1.5606,0.2194,2.3504,0.41
QRF,300,5,5,0.788333,1.5638,0.2168,2.3264,0.39
QRF,300,5,6,0.79,1.5668,0.2117,2.3039,0.41
QRF,300,5,7,0.791667,1.5641,0.2141,2.3483,0.42
QRF,300,5,8,0.793333,1.5655,0.219,2.3434,0.36
QRF,300,5,9,0.788333,1.5699,0.2112,2.3175,0.44
QRF,300,5,-1,0.79,1.5677,0.2088,2.3023,0.0
QRF,300,6,0,0.856667,1.7087,0.1269,2.0407,0.38
QRF,300,6,1,0.853333,1.7007,0.1402,2.0875,0.36
QRF,300,6,2,0.86,1.6996,0.1398,2.0911,0.43
QRF,300,6,3,0.87,1.7147,0.1241,2.0091,0.42
QRF,300,6,4,0.858333,1.7014,0.1314,2.0323,0.39
QRF,300,6,5,0.856667,1.7019,0.1396,2.0765,0.4
QRF,300,6,6,0.855,1.7068,0.1366,2.0869,0.37
QRF,300,6,7,0.861667,1.6902,0.1543,2.068,0.4
QRF,300,6,8,0.858333,1.6997,0.1376,2.0822,0.38
QRF,300,6,9,0.855,1.6971,0.1394,2.1071,0.37
QRF,300,6,-1,0.858333,1.7021,0.1271,2.0418,0.0
QRF,300,7,0,0.85,1.6657,0.1463,2.1572,0.41
QRF,300,7,1,0.838333,1.6473,0.1614,2.1853,0.35
QRF,300,7,2,0.848333,1.6652,0.1427,2.1358,0.4
QRF,300,7,3,0.836667,1.6521,0.1546,2.1841,0.36
QRF,300,7,4,0.853333,1.6642,0.144,2.1393,0.37
QRF,300,7,5,0.841667,1.6594,0.1458,2.1514,0.41
