model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
XGB,100,4,2,0.778333,1.5198,0.2253,2.3385,0.12
XGB,100,4,3,0.771667,1.51,0.2304,2.3654,0.11
XGB,100,4,4,0.756667,1.4796,0.2376,2.4339,0.11
XGB,100,4,5,0.766667,1.4985,0.2325,2.3977,0.12
XGB,100,4,6,0.78,1.5223,0.2279,2.3566,0.11
XGB,100,4,7,0.775,1.5068,0.2308,2.3836,0.12
XGB,100,4,8,0.763333,1.4826,0.2349,2.4126,0.11
XGB,100,4,9,0.75,1.4793,0.2405,2.4565,0.11
XGB,100,4,-1,0.77,1.5,0.2316,2.3899,0.0
XGB,100,5,0,0.798333,1.5619,0.2246,2.2825,0.11
XGB,100,5,1,0.776667,1.5096,0.221,2.2656,0.11
XGB,100,5,2,0.773333,1.5016,0.2219,2.2554,0.11
XGB,100,5,3,0.781667,1.5145,0.2141,2.2449,0.11
XGB,100,5,4,0.79,1.5355,0.2246,2.2896,0.11
XGB,100,5,5,0.783333,1.5306,0.2254,2.2824,0.11
XGB,100,5,6,0.795,1.5518,0.213,2.2418,0.1
XGB,100,5,7,0.783333,1.5155,0.2098,2.2261,0.11
XGB,100,5,8,0.788333,1.529,0.2211,2.2524,0.11
XGB,100,5,9,0.78,1.5315,0.2251,2.2821,0.12
XGB,100,5,-1,0.786667,1.5282,0.2181,2.255,0.0
XGB,100,6,0,0.713333,1.3954,0.2862,2.6394,0.11
XGB,100,6,1,0.721667,1.4561,0.2856,2.6118,0.11
XGB,100,6,2,0.718333,1.4165,0.2734,2.5678,0.11
XGB,100,6,3,0.705,1.4063,0.2878,2.6518,0.11
XGB,100,6,4,0.706667,1.3957,0.2744,2.5752,0.12
XGB,100,6,5,0.715,1.4054,0.2781,2.6163,0.12
XGB,100,6,6,0.703333,1.3769,0.2897,2.6496,0.11
XGB,100,6,7,0.711667,1.4031,0.279,2.5754,0.11
XGB,100,6,8,0.713333,1.4017,0.2803,2.6027,0.1
XGB,100,6,9,0.706667,1.3834,0.2881,2.6175,0.11
XGB,100,6,-1,0.713333,1.404,0.2803,2.6041,0.0
XGB,100,7,0,0.82,1.6819,0.214,2.2626,0.08
XGB,100,7,1,0.81,1.6498,0.211,2.2627,0.1
XGB,100,7,2,0.79,1.5814,0.2003,2.2444,0.09
XGB,100,7,3,0.808333,1.6553,0.2198,2.2846,0.08
XGB,100,7,4,0.806667,1.6375,0.2152,2.2857,0.09
XGB,100,7,5,0.811667,1.638,0.2048,2.2493,0.1
XGB,100,7,6,0.808333,1.613,0.204,2.2506,0.1
XGB,100,7,7,0.81,1.6249,0.2005,2.2415,0.11
XGB,100,7,8,0.81,1.63,0.1992,2.2309,0.12
XGB,100,7,9,0.805,1.6245,0.1898,2.1982,0.12
XGB,100,7,-1,0.815,1.6336,0.2016,2.2437,0.0
XGB,100,8,0,0.806667,1.5885,0.1954,2.2215,0.12
XGB,100,8,1,0.813333,1.6144,0.1965,2.2132,0.11
XGB,100,8,2,0.805,1.5905,0.1976,2.2219,0.13
XGB,100,8,3,0.776667,1.5526,0.207,2.2841,0.11
XGB,100,8,4,0.803333,1.5847,0.2,2.2313,0.12
XGB,100,8,5,0.815,1.6148,0.1982,2.207,0.11
XGB,100,8,6,0.816667,1.6112,0.1902,2.1909,0.1
XGB,100,8,7,0.8,1.5827,0.1968,2.209,0.11
XGB,100,8,8,0.803333,1.5976,0.2013,2.2341,0.1
XGB,100,8,9,0.788333,1.5643,0.205,2.2551,0.11
XGB,100,8,-1,0.803333,1.5901,0.1975,2.2197,0.0
XGB,100,9,0,0.756667,1.541,0.2461,2.376,0.11
XGB,100,9,1,0.746667,1.5201,0.272,2.5252,0.11
XGB,100,9,2,0.753333,1.4864,0.2398,2.3828,0.1
XGB,100,9,3,0.755,1.5245,0.2449,2.3925,0.1
XGB,100,9,4,0.756667,1.5309,0.2419,2.3757,0.11
XGB,100,9,5,0.751667,1.5272,0.2552,2.428,0.11
XGB,100,9,6,0.753333,1.529,0.2534,2.4216,0.11
XGB,100,9,7,0.76,1.5625,0.2524,2.3947,0.11
XGB,100,9,8,0.743333,1.4996,0.259,2.4829,0.11
XGB,100,9,9,0.753333,1.5481,0.2567,2.4294,0.11
XGB,100,9,-1,0.751667,1.5269,0.2492,2.4098,0.0
XGB,200,0,0,0.841667,1.6141,0.1603,2.0662,0.11
XGB,200,0,1,0.845,1.6068,0.1592,2.0592,0.11
XGB,200,0,2,0.833333,1.5911,0.1628,2.0629,0.11
XGB,200,0,3,0.84,1.6164,0.1564,2.0566,0.11
XGB,200,0,4,0.836667,1.5913,0.1615,2.0532,0.1
XGB,200,0,5,0.841667,1.6105,0.1574,2.057,0.11
XGB,200,0,6,0.838333,1.5995,0.1576,2.0637,0.11
XGB,200,0,7,0.843333,1.6107,0.1541,2.0523,0.11
XGB,200,0,8,0.835,1.6036,0.1541,2.0555,0.11
XGB,200,0,9,0.843333,1.596,0.1586,2.0525,0.11
XGB,200,0,-1,0.84,1.604,0.1568,2.0553,0.0
XGB,200,1,0,0.815,1.6093,0.158,2.07,0.11
XGB,200,1,1,0.828333,1.62,0.1589,2.0715,0.11
XGB,200,1,2,0.82,1.6143,0.16,2.0747,0.1
XGB,200,1,3,0.821667,1.6052,0.161,2.0716,0.11
XGB,200,1,4,0.83,1.6262,0.157,2.0688,0.11
XGB,200,1,5,0.818333,1.6149,0.162,2.0778,0.11
XGB,200,1,6,0.825,1.615,0.1516,2.0518,0.11
XGB,200,1,7,0.825,1.6196,0.1575,2.0599,0.11
XGB,200,1,8,0.823333,1.6155,0.1539,2.0586,0.11
XGB,200,1,9,0.823333,1.6106,0.16,2.0697,0.11
XGB,200,1,-1,0.823333,1.6151,0.1567,2.0631,0.0
XGB,200,2,0,0.838333,1.6762,0.1457,2.0864,0.09
XGB,200,2,1,0.846667,1.6758,0.1414,2.0744,0.1
XGB,200,2,2,0.835,1.6662,0.1458,2.0917,0.1
XGB,200,2,3,0.845,1.6759,0.148,2.1005,0.1
XGB,200,2,4,0.836667,1.6657,0.1503,2.0943,0.09
XGB,200,2,5,0.843333,1.6716,0.1477,2.1006,0.1
XGB,200,2,6,0.836667,1.6639,0.1434,2.0808,0.1
XGB,200,2,7,0.838333,1.6691,0.1449,2.0931,0.11
XGB,200,2,8,0.845,1.6804,0.1406,2.0701,0.1
XGB,200,2,9,0.836667,1.667,0.1471,2.0936,0.1
XGB,200,2,-1,0.84,1.6712,0.1448,2.0864,0.0
XGB,200,3,0,0.801667,1.5915,0.1787,2.194,0.11
XGB,200,3,1,0.806667,1.5895,0.183,2.2,0.1
XGB,200,3,2,0.796667,1.583,0.1861,2.2102,0.11
XGB,200,3,3,0.798333,1.5891,0.1885,2.2301,0.11
XGB,200,3,4,0.803333,1.6002,0.1809,2.1897,0.1
XGB,200,3,5,0.805,1.6002,0.1801,2.1854,0.11
XGB,200,3,6,0.795,1.5731,0.1858,2.2131,0.1
XGB,200,3,7,0.805,1.5966,0.1929,2.2494,0.11
XGB,200,3,8,0.796667,1.5924,0.1923,2.251,0.11
XGB,200,3,9,0.793333,1.5759,0.1922,2.2519,0.11
XGB,200,3,-1,0.8,1.5892,0.1845,2.2107,0.0
XGB,200,4,0,0.798333,1.5662,0.1749,2.1172,0.11
XGB,200,4,1,0.791667,1.5607,0.1832,2.1519,0.11
XGB,200,4,2,0.791667,1.5654,0.1787,2.1267,0.11
XGB,200,4,3,0.791667,1.5665,0.1788,2.1413,0.11
XGB,200,4,4,0.788333,1.5613,0.181,2.1445,0.11
XGB,200,4,5,0.786667,1.5558,0.1827,2.1456,0.11
XGB,200,4,6,0.79,1.5626,0.1809,2.1442,0.1
XGB,200,4,7,0.796667,1.5645,0.1826,2.141,0.11
XGB,200,4,8,0.786667,1.5558,0.1829,2.1365,0.1
XGB,200,4,9,0.795,1.5657,0.1763,2.1156,0.11
XGB,200,4,-1,0.79,1.5625,0.1795,2.1345,0.0
XGB,200,5,0,0.818333,1.6069,0.1636,2.112,0.11
XGB,200,5,1,0.813333,1.6107,0.1646,2.1098,0.11
XGB,200,5,2,0.813333,1.608,0.1649,2.1024,0.1
XGB,200,5,3,0.815,1.6125,0.1643,2.1088,0.11
XGB,200,5,4,0.81,1.6009,0.1658,2.109,0.1
XGB,200,5,5,0.816667,1.6079,0.1649,2.1079,0.11
XGB,200,5,6,0.808333,1.6097,0.1587,2.0852,0.11
XGB,200,5,7,0.816667,1.6187,0.1623,2.0988,0.11
XGB,200,5,8,0.815,1.6072,0.1661,2.1087,0.11
XGB,200,5,9,0.818333,1.6103,0.1622,2.1061,0.11
XGB,200,5,-1,0.815,1.6093,0.1628,2.1028,0.0
XGB,200,6,0,0.786667,1.5677,0.1701,2.1932,0.1
XGB,200,6,1,0.788333,1.5695,0.1734,2.2065,0.11
XGB,200,6,2,0.786667,1.5817,0.1654,2.1806,0.1
XGB,200,6,3,0.786667,1.5807,0.1723,2.2098,0.11
XGB,200,6,4,0.793333,1.5767,0.1651,2.1938,0.1
XGB,200,6,5,0.783333,1.5708,0.1716,2.2039,0.11
XGB,200,6,6,0.791667,1.5809,0.1676,2.1957,0.11
XGB,200,6,7,0.781667,1.5757,0.1803,2.2261,0.11
XGB,200,6,8,0.79,1.5625,0.172,2.2181,0.11
XGB,200,6,9,0.791667,1.5902,0.1755,2.2156,0.11
XGB,200,6,-1,0.783333,1.5756,0.17,2.2002,0.0
XGB,200,7,0,0.85,1.6766,0.1384,2.0494,0.12
XGB,200,7,1,0.833333,1.6418,0.1398,2.0567,0.11
XGB,200,7,2,0.84,1.6549,0.1398,2.0552,0.11
XGB,200,7,3,0.835,1.6493,0.1457,2.0712,0.09
XGB,200,7,4,0.848333,1.6594,0.1293,2.0342,0.1
XGB,200,7,5,0.821667,1.6376,0.145,2.0685,0.1
XGB,200,7,6,0.836667,1.6443,0.139,2.0561,0.1
XGB,200,7,7,0.838333,1.6467,0.1449,2.0739,0.09
XGB,200,7,8,0.813333,1.6255,0.1485,2.0826,0.11
XGB,200,7,9,0.821667,1.6304,0.1398,2.0507,0.11
XGB,200,7,-1,0.836667,1.6466,0.1396,2.0531,0.0
XGB,200,8,0,0.843333,1.6726,0.1539,2.0759,0.12
XGB,200,8,1,0.838333,1.6391,0.1431,2.047,0.11
XGB,200,8,2,0.843333,1.6837,0.1508,2.0676,0.11
XGB,200,8,3,0.838333,1.641,0.1449,2.0565,0.11
XGB,200,8,4,0.848333,1.6949,0.1552,2.0857,0.1
XGB,200,8,5,0.826667,1.6416,0.1495,2.0658,0.11
XGB,200,8,6,0.836667,1.63,0.148,2.0565,0.11
XGB,200,8,7,0.836667,1.654,0.1472,2.0618,0.11
XGB,200,8,8,0.831667,1.645,0.147,2.0645,0.11
XGB,200,8,9,0.835,1.6497,0.1447,2.06,0.11
XGB,200,8,-1,0.838333,1.6552,0.1455,2.0599,0.0
XGB,200,9,0,0.821667,1.6076,0.1592,2.0856,0.11
XGB,200,9,1,0.821667,1.6056,0.17,2.1071,0.11
XGB,200,9,2,0.825,1.6118,0.1552,2.0763,0.11
XGB,200,9,3,0.826667,1.61,0.154,2.0747,0.11
XGB,200,9,4,0.821667,1.6084,0.1597,2.0923,0.11
XGB,200,9,5,0.821667,1.6104,0.1595,2.091,0.11
XGB,200,9,6,0.82,1.5989,0.1613,2.0908,0.11
